Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Jul 17, 2021",$26.25,$27.70,$26.04,$26.72,"$289,689,475","$7,285,326,695",SOL
"Jul 16, 2021",$28.55,$29.44,$26.23,$26.37,"$374,718,328","$7,189,451,552",SOL
"Jul 15, 2021",$31.36,$31.48,$28.01,$28.45,"$329,918,376","$7,757,107,712",SOL
"Jul 14, 2021",$29.14,$31.44,$27.52,$31.28,"$331,866,434","$8,528,371,236",SOL
"Jul 13, 2021",$30.79,$31.09,$28.92,$29.12,"$197,825,362","$7,939,526,439",SOL
"Jul 12, 2021",$32.17,$32.64,$30.07,$30.85,"$221,058,993","$8,410,343,323",SOL
"Jul 11, 2021",$31.69,$32.54,$31.41,$32.18,"$211,679,810","$8,772,884,240",SOL
"Jul 10, 2021",$33.32,$34.14,$31.19,$31.79,"$296,566,657","$8,666,774,458",SOL
"Jul 09, 2021",$33.13,$34.39,$31.99,$33.26,"$327,170,629","$9,069,188,075",SOL
"Jul 08, 2021",$36.72,$36.92,$32.80,$33.20,"$498,201,257","$9,052,578,353",SOL
"Jul 07, 2021",$34.23,$38.01,$33.84,$36.59,"$519,252,659","$9,976,177,349",SOL
"Jul 06, 2021",$32.93,$34.98,$32.93,$34.27,"$365,336,040","$9,343,050,097",SOL
"Jul 05, 2021",$34.28,$34.46,$32.48,$32.98,"$313,839,322","$8,992,833,088",SOL
"Jul 04, 2021",$34.50,$35.50,$33.56,$34.31,"$303,420,520","$9,354,354,087",SOL
"Jul 03, 2021",$34.02,$35.40,$33.30,$34.48,"$327,019,964","$9,400,215,615",SOL
"Jul 02, 2021",$33.31,$34.03,$31.48,$34.02,"$440,298,780","$9,275,256,700",SOL
"Jul 01, 2021",$35.51,$35.54,$32.39,$33.40,"$474,665,321","$9,107,189,782",SOL
"Jun 30, 2021",$33.96,$35.95,$31.60,$35.56,"$570,984,168","$9,694,007,086",SOL
"Jun 29, 2021",$33.01,$35.79,$32.73,$33.87,"$471,854,279","$9,233,357,638",SOL
"Jun 28, 2021",$31.88,$34.24,$31.04,$32.93,"$473,612,135","$8,977,345,683",SOL
"Jun 27, 2021",$29.75,$31.93,$29.27,$31.93,"$497,353,288","$8,705,146,914",SOL
"Jun 26, 2021",$28.61,$30.01,$26.71,$29.71,"$560,342,710","$8,100,836,463",SOL
"Jun 25, 2021",$31.17,$32.90,$28.04,$28.70,"$632,052,177","$7,824,384,002",SOL
"Jun 24, 2021",$30.85,$32.99,$28.55,$31.18,"$641,150,364","$8,501,117,110",SOL
"Jun 23, 2021",$26.91,$32.77,$25.70,$30.05,"$1,111,302,687","$8,192,451,330",SOL
"Jun 22, 2021",$26.59,$28.71,$20.38,$26.77,"$1,258,580,061","$7,299,009,873",SOL
"Jun 21, 2021",$35.26,$35.50,$25.95,$26.66,"$760,344,541","$7,267,805,028",SOL
"Jun 20, 2021",$35.24,$35.93,$31.36,$35.32,"$452,587,531","$9,630,102,394",SOL
"Jun 19, 2021",$36.82,$37.35,$34.98,$35.35,"$264,640,750","$9,638,669,476",SOL
"Jun 18, 2021",$39.27,$39.43,$35.00,$36.65,"$424,163,369","$9,991,833,809",SOL
"Jun 17, 2021",$39.69,$41.24,$38.29,$39.26,"$417,775,600","$10,704,997,764",SOL
"Jun 16, 2021",$39.55,$41.50,$37.50,$39.70,"$576,016,902","$10,824,691,940",SOL
"Jun 15, 2021",$40.54,$41.76,$39.44,$41.15,"$605,285,143","$11,220,024,465",SOL
